EMB-145EP;Fixed Wing Multi-Engine;Turbo-Jet
EMB-145LR;Fixed Wing Multi-Engine;Turbo-Fan
EMB-145XR;Fixed Wing Multi-Engine;Turbo-Fan
ERJ 190-100 IGW;Fixed Wing Multi-Engine;Turbo-Fan
F85P-1;Fixed Wing Single-Engine;Reciprocating
FALCON XP;Fixed Wing Single-Engine;Reciprocating
FALCON-XP;Fixed Wing Single-Engine;Reciprocating
G-IV;Fixed Wing Multi-Engine;Turbo-Fan
HST-550;Fixed Wing Single-Engine;Turbo-Prop
KITFOX IV;Fixed Wing Single-Engine;Reciprocating
MD-88;Fixed Wing Multi-Engine;Turbo-Fan
MD-90-30;Fixed Wing Multi-Engine;Turbo-Jet
OTTER DHC-3;Fixed Wing Single-Engine;Reciprocating
PA-28-180;Fixed Wing Single-Engine;Reciprocating
PA-31-350;Fixed Wing Multi-Engine;Reciprocating
PA-32R-300;Fixed Wing Single-Engine;Reciprocating
PA-32RT-300;Fixed Wing Single-Engine;Reciprocating
S-50A;Balloon;None
S-76A;Rotorcraft;Turbo-Shaft
T210N;Fixed Wing Single-Engine;Reciprocating
VANS AIRCRAFT RV6;Fixed Wing Single-Engine;Reciprocating
planeModel;planeAircraft_type;plane_Engine_type
